                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.84857,                0.52737,                  1.102,                0.91513,                  0.366,                0.42995,                0.34387,                    nan,                    nan,                    nan,              0.0006768,              0.0006768,              0.0006768
                     38,                0.84632,                0.51508,                 1.1014,                0.89825,                 0.3689,                0.44062,                0.34921,                    nan,                    nan,                    nan,              0.0006493,              0.0006493,              0.0006493
                     39,                0.84337,                0.51571,                 1.0934,                0.90013,                0.36714,                0.43138,                0.34039,                    nan,                    nan,                    nan,             0.00062179,             0.00062179,             0.00062179
                     40,                0.84351,                0.51884,                 1.0998,                0.90767,                0.36883,                0.43109,                0.34374,                    nan,                    nan,                    nan,             0.00059429,             0.00059429,             0.00059429
                     41,                0.84074,                0.50635,                 1.0935,                0.88949,                 0.3666,                 0.4411,                0.34964,                    nan,                    nan,                    nan,             0.00056678,             0.00056678,             0.00056678
                     42,                0.83153,                0.50253,                 1.0895,                0.88508,                 0.3692,                0.43323,                0.34351,                    nan,                    nan,                    nan,             0.00053927,             0.00053927,             0.00053927
                     43,                0.82837,                0.50293,                 1.0917,                0.90924,                0.36657,                0.44144,                0.35391,                    nan,                    nan,                    nan,             0.00051177,             0.00051177,             0.00051177
                     44,                0.82459,                0.50599,                 1.0818,                 0.9065,                 0.3666,                0.43916,                0.35005,                    nan,                    nan,                    nan,             0.00048426,             0.00048426,             0.00048426
                     45,                   0.82,                0.49588,                  1.086,                0.89519,                0.36981,                0.44418,                0.35479,                    nan,                    nan,                    nan,             0.00045676,             0.00045676,             0.00045676
                     46,                 0.8184,                0.48688,                 1.0784,                0.88421,                0.37006,                0.44162,                0.35556,                    nan,                    nan,                    nan,             0.00042925,             0.00042925,             0.00042925
                     47,                0.81383,                0.48224,                 1.0771,                0.88721,                0.37015,                0.44286,                0.35518,                    nan,                    nan,                    nan,             0.00040175,             0.00040175,             0.00040175
                     48,                0.81179,                0.48647,                 1.0821,                0.90511,                0.36841,                 0.4451,                0.35893,                    nan,                    nan,                    nan,             0.00037424,             0.00037424,             0.00037424
                     49,                0.80054,                0.47652,                 1.0761,                0.88174,                 0.3718,                0.45041,                0.36186,                    nan,                    nan,                    nan,             0.00034674,             0.00034674,             0.00034674
                     50,                0.80671,                0.47724,                 1.0761,                0.90288,                0.36947,                0.44938,                0.36251,                    nan,                    nan,                    nan,             0.00031923,             0.00031923,             0.00031923
                     51,                0.78218,                0.42025,                 1.0392,                0.90446,                0.36667,                0.44037,                0.35299,                    nan,                    nan,                    nan,             0.00029172,             0.00029172,             0.00029172
                     52,                0.77408,                0.41309,                 1.0306,                0.90305,                0.36837,                 0.4452,                0.35877,                    nan,                    nan,                    nan,             0.00026422,             0.00026422,             0.00026422
                     53,                0.76796,                0.40436,                 1.0286,                0.91165,                0.36837,                0.45203,                0.36453,                    nan,                    nan,                    nan,             0.00023671,             0.00023671,             0.00023671
                     54,                0.76044,                0.40287,                 1.0243,                0.90371,                 0.3697,                0.45373,                0.36506,                    nan,                    nan,                    nan,             0.00020921,             0.00020921,             0.00020921
                     55,                 0.7568,                0.39734,                 1.0278,                0.90769,                0.36682,                0.46094,                0.37406,                    nan,                    nan,                    nan,              0.0001817,              0.0001817,              0.0001817
                     56,                0.75223,                0.39254,                 1.0189,                 0.8969,                0.36833,                0.45863,                0.37078,                    nan,                    nan,                    nan,              0.0001542,              0.0001542,              0.0001542
                     57,                0.74938,                0.38976,                 1.0178,                0.91507,                0.36607,                0.45501,                0.36958,                    nan,                    nan,                    nan,             0.00012669,             0.00012669,             0.00012669
                     58,                0.74397,                0.38487,                 1.0127,                0.90652,                0.36734,                0.46037,                0.37295,                    nan,                    nan,                    nan,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     59,                0.74056,                0.38036,                 1.0137,                0.89559,                0.36893,                0.45861,                0.37181,                    nan,                    nan,                    nan,             7.1681e-05,             7.1681e-05,             7.1681e-05
                     60,                0.73447,                0.37806,                 1.0117,                0.92122,                0.36434,                0.46164,                0.37438,                    nan,                    nan,                    nan,             4.4176e-05,             4.4176e-05,             4.4176e-05
